tell me time of alarm you set,alarm_query,1.0
list all of my alarms,alarm_query,1.0
alarm settings,alarm_set,0.73
what alarms are set for today,alarm_query,1.0
please see see for me the alarms that you have set sunday morning,alarm_query,1.0
tell me when the next alarms are for,alarm_query,1.0
please tell me what alarms are on,alarm_query,1.0
please list all my alarms,alarm_query,1.0
what alarms are set right now,alarm_query,1.0
check whether i have set any alarms for tomorrow morning,alarm_query,0.55
tell me about my alarms,alarm_query,1.0
do i have any alarms set,alarm_query,0.99
is there an alarm at four am,alarm_set,1.0
show me my alarms,alarm_query,1.0
what alarm time had you set,alarm_query,0.93
can you tell me what alarms i have set,alarm_query,1.0
please let me know the morning alarm time kept for weekends,alarm_set,0.39
what time is the alarm set for tomorrow,alarm_query,0.87
may i know the about alarm you set,alarm_query,0.98
disable the alarm which is set at nine thirty pm,alarm_remove,0.96
delete scheduled alarm,alarm_remove,1.0
turn off my first alarm,alarm_remove,0.98
please cancel all alarms for tomorrow,alarm_remove,1.0
please delete the wednesday evening alarm,alarm_remove,1.0
please delete my morning alarm,alarm_remove,1.0
remove all of my alarms,alarm_remove,1.0
cancel alarm,alarm_remove,1.0
delete the alarm i just set,alarm_remove,1.0
could you please remove the set of alarms between eight and nine,alarm_remove,1.0
please turn off the alarm,alarm_remove,0.89
set an alarm for nine am,alarm_set,1.0
change alarm to start at midnight,alarm_remove,0.85
alarm ten am,alarm_set,1.0
set an alarm for me for tomorrow,alarm_set,0.74
set an alarm for twelve,alarm_set,1.0
set a timer at five am seven days a week,alarm_set,0.43
i need to set an alarm for next friday at noon,alarm_set,0.98
please sound an alarm three hours before a scheduled event,alarm_set,1.0
can you set an alarm for seven am,alarm_set,1.0
alert me at ten am please,alarm_set,1.0
set the alarm to seven am for work,alarm_set,0.99
wake up time,alarm_set,0.88
change my alarms to mountain time,datetime_convert,0.53
set up each day an alarm at ten time for my meal,alarm_set,0.99
please set an alarm clock for my next meeting with the team at three pm next friday,alarm_set,0.97
set my alarm for six am,alarm_set,1.0
set an alarm for this eight hundred pm this evening,alarm_set,1.0
set alarm at six thirty am,alarm_set,1.0
make me a wake up alarm for eight forty five am,alarm_set,1.0
could you please lower the tone,audio_volume_down,0.99
please talk softer,audio_volume_up,0.56
lower the speak volume,audio_volume_down,1.0
it is too loud decrease the volume,audio_volume_down,1.0
Turn down volume,audio_volume_down,0.99
reduce volume,audio_volume_down,1.0
lower the volume to twenty,audio_volume_down,0.98
lower volume by fifty percent,audio_volume_down,0.98
quiet please,audio_volume_mute,0.99
mute sound from speakers,audio_volume_up,0.99
please mute for five minutes,audio_volume_mute,1.0
mute my speakers for a minute here i need to make a call,audio_volume_mute,0.41
mute speaker,audio_volume_up,0.94
silence volume on speakers,audio_volume_down,0.97
turn off media volume,audio_volume_down,0.83
i need you to be quiet until tomorrow,audio_volume_mute,0.97
go to sleep,audio_volume_mute,0.99
no notifications for five minutes,audio_volume_mute,0.81
turn off the sound,audio_volume_up,0.53
mute the music,audio_volume_mute,0.89
pause for ten seconds,audio_volume_mute,1.0
set mute for twenty minutes,audio_volume_mute,0.99
i need to mute the speaker,audio_volume_up,0.99
could you speak a little more softly,audio_volume_up,0.99
turn it up,audio_volume_up,0.51
just increase the volume a little,audio_volume_up,1.0
olly turn the volume up,audio_volume_up,1.0
raise volume to level seven on music player,audio_volume_up,1.0
i want the speakers turned up high,audio_volume_up,0.99
rise volume,audio_volume_up,1.0
please increase the volume of the music hips don't lie,audio_volume_up,0.99
raise the volume of my music player by fifty percent,audio_volume_up,0.74
speak as loud as you can,audio_volume_up,1.0
increase volume please,audio_volume_up,1.0
make this a bit louder,audio_volume_up,1.0
increase volume to fifty percent,audio_volume_up,0.92
when is the school dance junction marked,qa_factoid,0.95
what is my schedule for tomorrow,calendar_query,1.0
am i available at five pm on sunday,calendar_set,0.51
do i have any notifications from social media,social_query,1.0
what do i have scheduled for next week,calendar_query,1.0
tell me the meetings i have for the week,calendar_query,1.0
do i have any openings on my schedule for tomorrow,calendar_query,0.99
do i need to pick up the kids from anything today,general_explain,0.81
is there anything i need to be aware of,general_dontcare,0.49
do i have any undone tasks,calendar_query,0.75
what is left for today,qa_maths,0.29
list out my upcoming events,calendar_query,1.0
